"","Person","MT1","MT2","MT3","MT4","MT5","Test1","Test2","FINAL"
"1","P1",100,72,96,90,94,77,50,74
"2","P2",79,83,63,86,89,88,63,71
"3","P3",100,90,96,93,100,0,93,92
"4","P4",100,100,96,100,100,0,100,83
"5","P5",100,94,88,92,86,90,77,71
"6","P6",0,54,73,79,46,73,83,83
"7","P7",87,82,85,82,0,86,97,75
"8","P8",100,80,61,82,80,88,70,79
"9","P9",100,56,69,82,52,85,70,79
"10","P10",96,85,85,100,100,88,90,63
"11","P11",98,0,78,88,93,89,70,67
"12","P12",100,93,76,93,92,94,87,71
"13","P13",100,99,92,89,99,87,80,75
"14","P14",90,80,0,98,95,94,87,75
"15","P15",0,94,85,100,100,95,90,92
"16","P16",87,71,75,86,74,75,83,71
"17","P17",100,85,65,85,78,83,77,67
"18","P18",93,99,90,100,96,87,67,74
"19","P19",100,96,88,75,84,77,83,100
"20","P20",83,83,55,88,87,73,77,54
"21","P21",94,97,88,94,94,94,80,79
"22","P22",100,99,94,97,95,99,93,100
"23","P23",90,87,84,88,98,92,63,71
"24","P24",98,99,100,88,0,100,90,96
"25","P25",100,99,93,89,89,88,87,96
"26","P26",98,91,96,86,98,91,90,88
"27","P27",79,100,82,85,85,87,93,71
"28","P28",98,100,88,92,100,90,87,88
"29","P29",100,81,81,75,100,95,57,50
"30","P30",100,96,82,86,95,88,73,58
"31","P31",98,91,100,85,98,89,83,67
"32","P32",93,77,59,74,96,95,77,50
"33","P33",69,44,36,79,94,77,77,71
"34","P34",100,90,84,93,NA,95,90,92
"35","P35",62,87,90,97,96,80,83,50
"36","P36",100,69,75,80,75,79,50,54
"37","P37",100,90,87,92,95,91,80,92
"38","P38",0,75,0,79,85,83,73,58
"39","P39",96,71,0,84,81,100,77,71
"40","P40",91,66,86,92,86,97,63,67
"41","P41",93,96,86,90,80,83,90,58
"42","P42",83,97,96,98,92,93,90,71
"43","P43",98,98,88,87,67,92,77,75
"44","P44",100,70,0,74,89,94,83,42
"45","P45",100,89,88,86,100,92,87,71
"46","P46",93,90,82,90,89,0,93,67
"47","P47",93,92,98,87,98,86,90,88
"48","P48",87,84,79,88,82,63,93,42
"49","P49",93,98,81,91,97,100,83,58
"50","P50",83,0,90,100,0,0,80,71
"51","P51",87,66,86,84,88,82,83,58
"52","P52",82,99,70,94,76,90,70,50
"53","P53",93,86,73,76,77,100,70,58
"54","P54",100,98,96,100,100,91,100,88
