"Person","MT1","MT2","MT3","MT4","MT5"
"P1",100,72,96,90,94
"P2",79,83,63,86,89
"P3",100,90,96,93,100
"P4",100,100,96,100,100
"P5",100,94,88,92,86
"P6",0,54,73,79,46
"P7",87,82,85,82,0
"P8",100,80,61,82,80
"P9",100,56,69,82,52
"P10",96,85,85,100,100
"P11",98,0,78,88,93
"P12",100,93,76,93,92
"P13",100,99,92,89,99
"P14",90,80,0,98,95
"P15",0,94,85,100,100
"P16",87,71,75,86,74
"P17",100,85,65,85,78
"P18",93,99,90,100,96
"P19",100,96,88,75,84
"P20",83,83,55,88,87
"P21",94,97,88,94,94
"P22",100,99,94,97,95
"P23",90,87,84,88,98
"P24",98,99,100,88,0
"P25",100,99,93,89,89
"P26",98,91,96,86,98
"P27",79,100,82,85,85
"P28",98,100,88,92,100
"P29",100,81,81,75,100
"P30",100,96,82,86,95
"P31",98,91,100,85,98
"P32",93,77,59,74,96
"P33",69,44,36,79,94
"P34",100,90,84,93,NA
"P35",62,87,90,97,96
"P36",100,69,75,80,75
"P37",100,90,87,92,95
"P38",0,75,0,79,85
"P39",96,71,0,84,81
"P40",91,66,86,92,86
"P41",93,96,86,90,80
"P42",83,97,96,98,92
"P43",98,98,88,87,67
"P44",100,70,0,74,89
"P45",100,89,88,86,100
"P46",93,90,82,90,89
"P47",93,92,98,87,98
"P48",87,84,79,88,82
"P49",93,98,81,91,97
"P50",83,0,90,100,0
"P51",87,66,86,84,88
"P52",82,99,70,94,76
"P53",93,86,73,76,77
"P54",100,98,96,100,100
